Company Name,Industry,Symbol,yahoo Symbol,ISIN Code,
Ashok Leyland Ltd.,Automobile and Auto Components,ASHOKLEY,ASHOKLEY.NS,INE208A01029,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.NS,INE917I01010,
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,BHARATFORG.NS,INE465A01025,
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,BOSCHLTD.NS,INE323A01026,
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EICHERMOT.NS,INE066A01021,
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EXIDEIND.NS,INE302A01020,
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,HEROMOTOCO.NS,INE158A01026,
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,M&M.NS,INE101A01026,
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,MARUTI.NS,INE585B01010,
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,MOTHERSON.NS,INE775A01035,
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,SONACOMS.NS,INE073K01018,
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,TVSMOTOR.NS,INE494B01023,
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,TMPV.NS,INE155A01022,
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,TIINDIA.NS,INE974X01010,
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,UNOMINDA.NS,INE405E01023,
AU Small Finance Bank Ltd.,Financial Services,AUBANK,AUBANK.NS,INE949L01017,
Axis Bank Ltd.,Financial Services,AXISBANK,AXISBANK.NS,INE238A01034,
Bank of Baroda,Financial Services,BANKBARODA,BANKBARODA.NS,INE028A01039,
Canara Bank,Financial Services,CANBK,CANBK.NS,INE476A01022,
Federal Bank Ltd.,Financial Services,FEDERALBNK,FEDERALBNK.NS,INE171A01029,
HDFC Bank Ltd.,Financial Services,HDFCBANK,HDFCBANK.NS,INE040A01034,
ICICI Bank Ltd.,Financial Services,ICICIBANK,ICICIBANK.NS,INE090A01021,
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,IDFCFIRSTB.NS,INE092T01019,
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,INDUSINDBK.NS,INE095A01012,
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,KOTAKBANK.NS,INE237A01036,
Punjab National Bank,Financial Services,PNB,PNB.NS,INE160A01022,
State Bank of India,Financial Services,SBIN,SBIN.NS,INE062A01020,
Union Bank of India,Financial Services,UNIONBANK,UNIONBANK.NS,INE692A01016,
Yes Bank Ltd.,Financial Services,YESBANK,YESBANK.NS,INE528G01035,
ABB India Ltd.,Capital Goods,ABB,ABB.NS,INE117A01022,
AIA Engineering Ltd.,Capital Goods,AIAENG,AIAENG.NS,INE212H01026,
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,APLAPOLLO.NS,INE702C01027,
Apar Industries Ltd.,Capital Goods,APARINDS,APARINDS.NS,INE372A01015,
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,ASHOKLEY.NS,INE208A01029,
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,ASTRAMICRO.NS,INE386C01029,
Astral Ltd.,Capital Goods,ASTRAL,ASTRAL.NS,INE006I01046,
BEML Ltd.,Capital Goods,BEML,BEML.NS,INE258A01024,
Bharat Dynamics Ltd.,Capital Goods,BDL,BDL.NS,INE171Z01026,
Bharat Electronics Ltd.,Capital Goods,BEL,BEL.NS,INE263A01024,
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,BHEL.NS,INE257A01026,
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,CGPOWER.NS,INE067A01029,
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,CARBORUNIV.NS,INE120A01034,
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,COCHINSHIP.NS,INE704P01025,
Cummins India Ltd.,Capital Goods,CUMMINSIND,CUMMINSIND.NS,INE298A01020,
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,DATAPATTNS.NS,INE0IX101010,
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,ELGIEQUIP.NS,INE285A01027,
Escorts Kubota Ltd.,Capital Goods,ESCORTS,ESCORTS.NS,INE042A01014,
Finolex Cables Ltd.,Capital Goods,FINCABLES,FINCABLES.NS,INE235A01022,
Finolex Industries Ltd.,Capital Goods,FINPIPE,FINPIPE.NS,INE183A01024,
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,GVT&D.NS,INE200A01026,
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,GRSE.NS,INE382Z01011,
HBL Engineering Ltd.,Capital Goods,HBLENGINE,HBLENGINE.NS,INE292B01021,
Hindustan Aeronautics Ltd.,Capital Goods,HAL,HAL.NS,INE066F01020,
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,POWERINDIA.NS,INE07Y701011,
Honeywell Automation India Ltd.,Capital Goods,HONAUT,HONAUT.NS,INE671A01010,
Inox Wind Ltd.,Capital Goods,INOXWIND,INOXWIND.NS,INE066P01011,
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,JYOTICNC.NS,INE980O01024,
KEI Industries Ltd.,Capital Goods,KEI,KEI.NS,INE878B01027,
Kaynes Technology India Ltd.,Capital Goods,KAYNES,KAYNES.NS,INE918Z01012,
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,KIRLOSENG.NS,INE146L01010,
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,MAZDOCK.NS,INE249Z01020,
PTC Industries Ltd.,Capital Goods,PTCIL,PTCIL.NS,INE596F01018,
Polycab India Ltd.,Capital Goods,POLYCAB,POLYCAB.NS,INE455K01017,
Praj Industries Ltd.,Capital Goods,PRAJIND,PRAJIND.NS,INE074A01025,
Premier Energies Ltd.,Capital Goods,PREMIERENE,PREMIERENE.NS,INE0BS701011,
Siemens Energy India Ltd.,Capital Goods,ENRIN,ENRIN.NS,INE1NPP01017,
Siemens Ltd.,Capital Goods,SIEMENS,SIEMENS.NS,INE003A01024,
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,SUPREMEIND.NS,INE195A01028,
Suzlon Energy Ltd.,Capital Goods,SUZLON,SUZLON.NS,INE040H01021,
TD Power Systems Ltd.,Capital Goods,TDPOWERSYS,TDPOWERSYS.NS,INE419M01027,
Tata Motors Ltd.,Capital Goods,TMCV,TMCV.NS,INE1TAE01010,
Thermax Ltd.,Capital Goods,THERMAX,THERMAX.NS,INE152A01029,
Timken India Ltd.,Capital Goods,TIMKEN,TIMKEN.NS,INE325A01013,
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,TITAGARH.NS,INE615H01020,
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,TRITURBINE.NS,INE152M01016,
Usha Martin Ltd.,Capital Goods,USHAMART,USHAMART.NS,INE228A01035,
Voltamp Transformers Ltd,Capital Goods,VOLTAMP,VOLTAMP.NS,INE540H01012,
Waaree Energies Ltd.,Capital Goods,WAAREEENER,WAAREEENER.NS,INE377N01017,
Welspun Corp Ltd.,Capital Goods,WELCORP,WELCORP.NS,INE191B01025,
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,ULTRACEMCO.NS,INE481G01011,
Grasim Industries Ltd.,Construction Materials,GRASIM,GRASIM.NS,INE047A01021,
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,AMBUJACEM.NS,INE079A01024,
Shree Cement Ltd.,Construction Materials,SHREECEM,SHREECEM.NS,INE070A01015,
J.K. Cement Ltd.,Construction Materials,JKCEMENT,JKCEMENT.NS,INE823G01014,
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,DALBHARAT.NS,INE00R701025,
ACC Ltd.,Construction Materials,ACC,ACC.NS,INE012A01025,
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,RAMCOCEM.NS,INE331A01037,
JSW Cement Ltd.,Construction Materials,JSWCEMENT,JSWCEMENT.NS,INE718I01012,
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,NUVOCO.NS,INE118D01016,
India Cements Ltd.,Construction Materials,INDIACEM,INDIACEM.NS,INE383A01012,
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,JKLAKSHMI.NS,INE786A01032,
Star Cement Ltd.,Construction Materials,STARCEMENT,STARCEMENT.NS,INE460H01021,
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,BIRLACORPN.NS,INE340A01012,
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,PRSMJOHNSN.NS,INE010A01011,
Orient Cement Ltd.,Construction Materials,ORIENTCEM,ORIENTCEM.NS,INE876N01018,
Aarti Industries Ltd.,Chemicals,AARTIIND,AARTIIND.NS,INE769A01020,
Atul Ltd.,Chemicals,ATUL,ATUL.NS,INE100A01010,
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,BAYERCROP.NS,INE462A01022,
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,CHAMBLFERT.NS,INE085A01013,
Coromandel International Ltd.,Chemicals,COROMANDEL,COROMANDEL.NS,INE169A01031,
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,DEEPAKNTR.NS,INE288B01029,
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EIDPARRY.NS,INE126A01031,
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,FLUOROCHEM.NS,INE09N301011,
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,GNFC.NS,INE113A01013,
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,HSCL.NS,INE019C01026,
Linde India Ltd.,Chemicals,LINDEINDIA,LINDEINDIA.NS,INE473A01011,
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,NAVINFLUOR.NS,INE048G01026,
PCBL Chemical Ltd.,Chemicals,PCBL,PCBL.NS,INE602A01031,
PI Industries Ltd.,Chemicals,PIIND,PIIND.NS,INE603J01030,
Pidilite Industries Ltd.,Chemicals,PIDILITIND,PIDILITIND.NS,INE318A01026,
SRF Ltd.,Chemicals,SRF,SRF.NS,INE647A01010,
Solar Industries India Ltd.,Chemicals,SOLARINDS,SOLARINDS.NS,INE343H01029,
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,SUMICHEM.NS,INE258G01013,
Tata Chemicals Ltd.,Chemicals,TATACHEM,TATACHEM.NS,INE092A01019,
UPL Ltd.,Chemicals,UPL,UPL.NS,INE628A01036,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,ADANIPORTS.NS,INE742F01042,
Awfis Space Solutions Ltd.,Services,AWFIS,AWFIS.NS,INE108V01019,
Blackbuck Ltd.,Services,BLACKBUCK,BLACKBUCK.NS,INE0UIZ01018,
Blue Dart Express Ltd.,Services,BLUEDART,BLUEDART.NS,INE233B01017,
CMS Info Systems Ltd.,Services,CMSINFO,CMSINFO.NS,INE925R01014,
Container Corporation of India Ltd.,Services,CONCOR,CONCOR.NS,INE111A01025,
Delhivery Ltd.,Services,DELHIVERY,DELHIVERY.NS,INE148O01028,
Firstsource Solutions Ltd.,Services,FSL,FSL.NS,INE684F01012,
GMR Airports Ltd.,Services,GMRAIRPORT,GMRAIRPORT.NS,INE776C01039,
Great Eastern Shipping Co. Ltd.,Services,GESHIP,GESHIP.NS,INE017A01032,
Gujarat Pipavav Port Ltd.,Services,GPPL,GPPL.NS,INE517F01014,
Hemisphere Properties India Ltd.,Services,HEMIPROP,HEMIPROP.NS,INE0AJG01018,
Inox Green Energy Services Ltd.,Services,INOXGREEN,INOXGREEN.NS,INE510W01014,
InterGlobe Aviation Ltd.,Services,INDIGO,INDIGO.NS,INE646L01027,
International Gemological Institute Ltd.,Services,IGIL,IGIL.NS,INE0Q9301021,
JSW Infrastructure Ltd.,Services,JSWINFRA,JSWINFRA.NS,INE880J01026,
MMTC Ltd.,Services,MMTC,MMTC.NS,INE123F01029,
MSTC Ltd.,Services,MSTCLTD,MSTCLTD.NS,INE255X01014,
NESCO Ltd.,Services,NESCO,NESCO.NS,INE317F01035,
Quess Corp Ltd.,Services,QUESS,QUESS.NS,INE615P01015,
Redington Ltd.,Services,REDINGTON,REDINGTON.NS,INE891D01026,
Shipping Corporation of India Ltd.,Services,SCI,SCI.NS,INE109A01011,
Smartworks Coworking Spaces Ltd.,Services,SMARTWORKS,SMARTWORKS.NS,INE0NAZ01010,
TVS Supply Chain Solutions Ltd.,Services,TVSSCS,TVSSCS.NS,INE395N01027,
WeWork India Management Ltd.,Services,WEWORK,WEWORK.NS,INE085001019,
eClerx Services Ltd.,Services,ECLERX,ECLERX.NS,INE738I01010,
Afcons Infrastructure Ltd.,Construction,AFCONS,AFCONS.NS,INE101I01011,
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,AHLUCONT.NS,INE758C01029,
Ashoka Buildcon Ltd.,Construction,ASHOKA,ASHOKA.NS,INE442H01029,
Cemindia Projects Ltd.,Construction,CEMPRO,CEMPRO.NS,INE686A01026,
Dilip Buildcon Ltd.,Construction,DBL,DBL.NS,INE917M01012,
Engineers India Ltd.,Construction,ENGINERSIN,ENGINERSIN.NS,INE510A01028,
H.G. Infra Engineering Ltd.,Construction,HGINFRA,HGINFRA.NS,INE926X01010,
Hindustan Construction Co. Ltd.,Construction,HCC,HCC.NS,INE549A01026,
IRB Infrastructure Developers Ltd.,Construction,IRB,IRB.NS,INE821I01022,
IRCON International Ltd.,Construction,IRCON,IRCON.NS,INE962Y01021,
KNR Constructions Ltd.,Construction,KNRCON,KNRCON.NS,INE634I01029,
Kalpataru Projects International Ltd.,Construction,KPIL,KPIL.NS,INE220B01022,
Kec International Ltd.,Construction,KEC,KEC.NS,INE389H01022,
Larsen & Toubro Ltd.,Construction,LT,LT.NS,INE018A01030,
NBCC (India) Ltd.,Construction,NBCC,NBCC.NS,INE095N01031,
NCC Ltd.,Construction,NCC,NCC.NS,INE868B01028,
PNC Infratech Ltd.,Construction,PNCINFRA,PNCINFRA.NS,INE195J01029,
Power Mech Projects Ltd.,Construction,POWERMECH,POWERMECH.NS,INE211R01019,
RITES Ltd.,Construction,RITES,RITES.NS,INE320J01015,
Rail Vikas Nigam Ltd.,Construction,RVNL,RVNL.NS,INE415G01027,
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,SWSOLAR.NS,INE00M201021,
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,TECHNOE.NS,INE285K01026,
Welspun Enterprises Ltd.,Construction,WELENT,WELENT.NS,INE625G01013,
Amber Enterprises India Ltd.,Consumer Durables,AMBER,AMBER.NS,INE371P01015,
Bata India Ltd.,Consumer Durables,BATAINDIA,BATAINDIA.NS,INE176A01028,
Blue Star Ltd.,Consumer Durables,BLUESTARCO,BLUESTARCO.NS,INE472A01039,
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,CROMPTON.NS,INE299U01018,
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,DIXON.NS,INE935N01020,
Havells India Ltd.,Consumer Durables,HAVELLS,HAVELLS.NS,INE176B01034,
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,KAJARIACER.NS,INE217B01036,
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,KALYANKJIL.NS,INE303R01014,
LG Electronics India Ltd.,Consumer Durables,LGEINDIA,LGEINDIA.NS,INE324D01010,
PG Electroplast Ltd.,Consumer Durables,PGEL,PGEL.NS,INE457L01029,
Titan Company Ltd.,Consumer Durables,TITAN,TITAN.NS,INE280A01028,
Voltas Ltd.,Consumer Durables,VOLTAS,VOLTAS.NS,INE226A01021,
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,WHIRLPOOL.NS,INE716A01013,
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,ABFRL.NS,INE647O01011,
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,ABLBL.NS,INE14LE01019,
Aditya Vision Ltd.,Consumer Services,AVL,AVL.NS,INE679V01027,
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,ARVINDFASN.NS,INE955V01021,
Avenue Supermarts Ltd.,Consumer Services,DMART,DMART.NS,INE192R01011,
BLS International Services Ltd.,Consumer Services,BLS,BLS.NS,INE153T01027,
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,FIRSTCRY.NS,INE02RE01045,
Cartrade Tech Ltd.,Consumer Services,CARTRADE,CARTRADE.NS,INE290S01011,
Chalet Hotels Ltd.,Consumer Services,CHALET,CHALET.NS,INE427F01016,
Crizac Ltd.,Consumer Services,CRIZAC,CRIZAC.NS,INE0S4R01014,
Devyani International Ltd.,Consumer Services,DEVYANI,DEVYANI.NS,INE872J01023,
EIH Ltd.,Consumer Services,EIHOTEL,EIHOTEL.NS,INE230A01023,
Electronics Mart India Ltd.,Consumer Services,EMIL,EMIL.NS,INE02YR01019,
Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,ENTERO.NS,INE010601016,
Eternal Ltd.,Consumer Services,ETERNAL,ETERNAL.NS,INE758T01015,
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,NYKAA.NS,INE388Y01029,
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,ITCHOTELS.NS,INE379A01028,
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,INDIAMART.NS,INE933S01016,
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,INDHOTEL.NS,INE053A01029,
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,IRCTC.NS,INE335Y01020,
